"Transects","Elsamp","Binomial","Subfamily","Genus","TrophicLevel","Specialization","NestingSite"
"1963.Gregg.G",1000.00,"Dorymyrmex.pyramicus","Dolichoderinae","Dorymyrmex","Predator, Scavenger, Granivore, Honeydew",,"Gr"
"1963.Gregg.G",1000.00,"Forelius.pruinosus","Dolichoderinae","Forelius","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Tapinoma.sessile","Dolichoderinae","Tapinoma","Scavenger, Honeydew","G","Gr, Ar"
"1963.Gregg.G",1000.00,"Formica.obscuripes","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Formica.neoclara","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Formica.neogagates","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Formica.lepida","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Formica.pallidefulva","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Formica.dolosa","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Formica.perpilosa","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1000.00,"Lasius.neoniger","Formicinae","Lasius",,"G","Gr"
"1963.Gregg.G",1000.00,"Lasius.alienus","Formicinae","Lasius",,"G","Gr"
"1963.Gregg.G",1000.00,"Myrmecocystus.melliger","Formicinae","Myrmecocystus",,,"Gr"
"1963.Gregg.G",1000.00,"Crematogaster.lineolata","Myrmicinae","Crematogaster","Predator, Scavenger, Plant fluid","G","Gr, Ar"
"1963.Gregg.G",1000.00,"Diplorhoptrum.validiusculum","Myrmicinae","Diplorhoptrum",,,"Gr"
"1963.Gregg.G",1000.00,"Monomorium.minimum","Myrmicinae","Monomorium",,"G","Gr"
"1963.Gregg.G",1000.00,"Myrmica.americana","Myrmicinae","Myrmica",,,"Gr"
"1963.Gregg.G",1000.00,"Pheidole.soritis","Myrmicinae","Pheidole","Scavenger, Granivore","G","Gr, Ar"
"1963.Gregg.G",1000.00,"Pheidole.bicarinata","Myrmicinae","Pheidole","Scavenger, Granivore","G","Gr, Ar"
"1963.Gregg.G",1000.00,"Pogonomyrmex.barbatus","Myrmicinae","Pogonomyrmex","Scavenger, Granivore","G","Gr"
"1963.Gregg.G",1000.00,"Pogonomyrmex.occidentalis","Myrmicinae","Pogonomyrmex","Scavenger, Granivore","G","Gr"
"1963.Gregg.G",1000.00,"Pogonomyrmex.rugosus","Myrmicinae","Pogonomyrmex","Scavenger, Granivore","G","Gr"
"1963.Gregg.G",1000.00,"Solenopsis.salina","Myrmicinae","Solenopsis",,,"Gr"
"1963.Gregg.G",1000.00,"Stenamma.brevicorne","Myrmicinae","Stenamma",,,"Gr, Ar"
"1963.Gregg.G",1000.00,"Ponera.pennsylvanica","Ponerinae","Ponera","Presumed predator",,"Gr"
"1963.Gregg.G",1100.00,"Dorymyrmex.pyramicus","Dolichoderinae","Dorymyrmex","Predator, Scavenger, Granivore, Honeydew",,"Gr"
"1963.Gregg.G",1100.00,"Forelius.pruinosus","Dolichoderinae","Forelius","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1100.00,"Tapinoma.sessile","Dolichoderinae","Tapinoma","Scavenger, Honeydew","G","Gr, Ar"
"1963.Gregg.G",1100.00,"Formica.obscuripes","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1100.00,"Formica.neoclara","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
"1963.Gregg.G",1100.00,"Formica.neogagates","Formicinae","Formica","Predator, Scavenger, Honeydew","G","Gr"
