"","Transect","Label","Elsamp","Subfamily","SFnumSpp","id"
"1","1963.Gregg.G","Colorado, USA",1000,"Agroecomyrmecinae",0,1
"2","1963.Gregg.G","Colorado, USA",1100,"Agroecomyrmecinae",0,2
"3","1963.Gregg.G","Colorado, USA",1200,"Agroecomyrmecinae",0,3
"4","1963.Gregg.G","Colorado, USA",1300,"Agroecomyrmecinae",0,4
"5","1963.Gregg.G","Colorado, USA",1400,"Agroecomyrmecinae",0,5
"6","1963.Gregg.G","Colorado, USA",1500,"Agroecomyrmecinae",0,6
"7","1963.Gregg.G","Colorado, USA",1600,"Agroecomyrmecinae",0,7
"8","1963.Gregg.G","Colorado, USA",1700,"Agroecomyrmecinae",0,8
"9","1963.Gregg.G","Colorado, USA",1800,"Agroecomyrmecinae",0,9
"10","1963.Gregg.G","Colorado, USA",1900,"Agroecomyrmecinae",0,10
"11","1963.Gregg.G","Colorado, USA",2000,"Agroecomyrmecinae",0,11
"12","1963.Gregg.G","Colorado, USA",2100,"Agroecomyrmecinae",0,12
"13","1963.Gregg.G","Colorado, USA",2200,"Agroecomyrmecinae",0,13
"14","1963.Gregg.G","Colorado, USA",2300,"Agroecomyrmecinae",0,14
"15","1963.Gregg.G","Colorado, USA",2400,"Agroecomyrmecinae",0,15
"16","1963.Gregg.G","Colorado, USA",2500,"Agroecomyrmecinae",0,16
"17","1963.Gregg.G","Colorado, USA",2600,"Agroecomyrmecinae",0,17
"18","1963.Gregg.G","Colorado, USA",2700,"Agroecomyrmecinae",0,18
"19","1963.Gregg.G","Colorado, USA",2800,"Agroecomyrmecinae",0,19
"20","1963.Gregg.G","Colorado, USA",2900,"Agroecomyrmecinae",0,20
"21","1963.Gregg.G","Colorado, USA",3000,"Agroecomyrmecinae",0,21
"22","1963.Gregg.G","Colorado, USA",3100,"Agroecomyrmecinae",0,22
"23","1963.Gregg.G","Colorado, USA",3200,"Agroecomyrmecinae",0,23
"24","1963.Gregg.G","Colorado, USA",3300,"Agroecomyrmecinae",0,24
"25","1963.Gregg.G","Colorado, USA",3400,"Agroecomyrmecinae",0,25
"26","1963.Gregg.G","Colorado, USA",3500,"Agroecomyrmecinae",0,26
"27","1963.Gregg.G","Colorado, USA",3600,"Agroecomyrmecinae",0,27
"28","1963.Gregg.G","Colorado, USA",3700,"Agroecomyrmecinae",0,28
"29","1963.Gregg.G","Colorado, USA",3800,"Agroecomyrmecinae",0,29
"30","1963.Gregg.G","Colorado, USA",3900,"Agroecomyrmecinae",0,30
"31","1963.Gregg.G","Colorado, USA",4000,"Agroecomyrmecinae",0,31
"32","1963.Gregg.G","Colorado, USA",4100,"Agroecomyrmecinae",0,32
"33","1963.Gregg.G","Colorado, USA",4200,"Agroecomyrmecinae",0,33
"34","1982.Allred.G","Utah, USA",700,"Agroecomyrmecinae",0,34
"35","1982.Allred.G","Utah, USA",800,"Agroecomyrmecinae",0,35
"36","1982.Allred.G","Utah, USA",900,"Agroecomyrmecinae",0,36
"37","1982.Allred.G","Utah, USA",1000,"Agroecomyrmecinae",0,37
"38","1982.Allred.G","Utah, USA",1100,"Agroecomyrmecinae",0,38
"39","1982.Allred.G","Utah, USA",1200,"Agroecomyrmecinae",0,39
"40","1982.Allred.G","Utah, USA",1300,"Agroecomyrmecinae",0,40
"41","1982.Allred.G","Utah, USA",1400,"Agroecomyrmecinae",0,41
"42","1982.Allred.G","Utah, USA",1500,"Agroecomyrmecinae",0,42
"43","1982.Allred.G","Utah, USA",1600,"Agroecomyrmecinae",0,43
"44","1982.Allred.G","Utah, USA",1700,"Agroecomyrmecinae",0,44
"45","1982.Allred.G","Utah, USA",1800,"Agroecomyrmecinae",0,45
"46","1982.Allred.G","Utah, USA",1900,"Agroecomyrmecinae",0,46
"47","1982.Allred.G","Utah, USA",2000,"Agroecomyrmecinae",0,47
"48","1982.Allred.G","Utah, USA",2100,"Agroecomyrmecinae",0,48
"49","1982.Allred.G","Utah, USA",2200,"Agroecomyrmecinae",0,49
"50","1982.Allred.G","Utah, USA",2300,"Agroecomyrmecinae",0,50
"51","1982.Allred.G","Utah, USA",2400,"Agroecomyrmecinae",0,51
"52","1982.Allred.G","Utah, USA",2500,"Agroecomyrmecinae",0,52
"53","1982.Allred.G","Utah, USA",2600,"Agroecomyrmecinae",0,53
"54","1982.Allred.G","Utah, USA",2700,"Agroecomyrmecinae",0,54
"55","1982.Allred.G","Utah, USA",2800,"Agroecomyrmecinae",0,55
"56","1982.Allred.G","Utah, USA",2900,"Agroecomyrmecinae",0,56
"57","1982.Allred.G","Utah, USA",3000,"Agroecomyrmecinae",0,57
"58","1982.Allred.G","Utah, USA",3100,"Agroecomyrmecinae",0,58
"59","1982.Allred.G","Utah, USA",3200,"Agroecomyrmecinae",0,59
"60","1982.Allred.G","Utah, USA",3300,"Agroecomyrmecinae",0,60
"61","1982.Allred.G","Utah, USA",3400,"Agroecomyrmecinae",0,61
