"","Label","El1","El2","sim","sne","sor","ymin"
"1","Colorado, USA",1100,1200,0,0,0,0
"2","Colorado, USA",1200,1300,0,0.111111111111111,0.111111111111111,0
"3","Colorado, USA",1300,1400,0,0,0,0
"4","Colorado, USA",1400,1500,0,0,0,0
"5","Colorado, USA",1500,1600,0,0,0,0
"6","Colorado, USA",1600,1700,0,0,0,0
"7","Colorado, USA",1700,1800,0,0,0,0
"8","Colorado, USA",1800,1900,0,0,0,0
"9","Colorado, USA",1900,2000,0,0.111111111111111,0.111111111111111,0
"10","Colorado, USA",2000,2100,0,0,0,0
"11","Colorado, USA",2100,2200,0,0.142857142857143,0.142857142857143,0
"12","Colorado, USA",2200,2300,0,0,0,0
"13","Colorado, USA",2300,2400,0,0,0,0
"14","Colorado, USA",2400,2500,0,0,0,0
"15","Colorado, USA",2500,2600,0,0,0,0
"16","Colorado, USA",2600,2700,0,0,0,0
"17","Colorado, USA",2700,2800,0,0,0,0
"18","Colorado, USA",2800,2900,0,0,0,0
"19","Colorado, USA",2900,3000,0,0,0,0
"20","Colorado, USA",3000,3100,0,0,0,0
"21","Colorado, USA",3100,3200,0,0,0,0
"22","Colorado, USA",3200,3300,0,0.2,0.2,0
"23","Colorado, USA",3300,3400,0,0,0,0
"24","Colorado, USA",3400,3500,0,0,0,0
"25","Colorado, USA",3500,3600,0,0,0,0
"26","Colorado, USA",3600,3700,0,0.333333333333333,0.333333333333333,0
"27","Colorado, USA",3700,3800,0,0,0,0
"28","Colorado, USA",3800,3900,0,0,0,0
"29","Colorado, USA",3900,4000,0,0,0,0
"30","Colorado, USA",4000,4100,0,0,0,0
"31","Colorado, USA",4100,4200,0,0,0,0
"32","Utah, USA",800,900,0,0.142857142857143,0.142857142857143,0
"33","Utah, USA",900,1000,0,0,0,0
"34","Utah, USA",1000,1100,0,0,0,0
"35","Utah, USA",1100,1200,0,0,0,0
"36","Utah, USA",1200,1300,0,0,0,0
"37","Utah, USA",1300,1400,0,0.142857142857143,0.142857142857143,0
"38","Utah, USA",1400,1500,0,0,0,0
"39","Utah, USA",1500,1600,0,0,0,0
"40","Utah, USA",1600,1700,0,0,0,0
"41","Utah, USA",1700,1800,0,0,0,0
