"","Label","El1","El2","sim","sne","sor","ymin"
"1","Colorado, USA",1100,1100,0,0,0,0
"2","Colorado, USA",1200,1100,0,0,0,0
"3","Colorado, USA",1300,1100,0.0416666666666667,0.0904088050314465,0.132075471698113,0
"4","Colorado, USA",1400,1100,0.0416666666666667,0.328196347031963,0.36986301369863,0
"5","Colorado, USA",1500,1100,0.0416666666666667,0.328196347031963,0.36986301369863,0
"6","Colorado, USA",1600,1100,0.0833333333333333,0.489482200647249,0.572815533980582,0
"7","Colorado, USA",1700,1100,0.0833333333333333,0.530701754385965,0.614035087719298,0
"8","Colorado, USA",1800,1100,0.0833333333333333,0.530701754385965,0.614035087719298,0
"9","Colorado, USA",1900,1100,0.166666666666667,0.508130081300813,0.67479674796748,0
"10","Colorado, USA",2000,1100,0.333333333333333,0.4,0.733333333333333,0
"11","Colorado, USA",2100,1100,0.333333333333333,0.4,0.733333333333333,0
"12","Colorado, USA",2200,1100,0.375,0.35472972972973,0.72972972972973,0
"13","Colorado, USA",2300,1100,0.458333333333333,0.289239482200647,0.747572815533981,0
"14","Colorado, USA",2400,1100,0.458333333333333,0.289239482200647,0.747572815533981,0
"15","Colorado, USA",2500,1100,0.541666666666667,0.233843537414966,0.775510204081633,0
"16","Colorado, USA",2600,1100,0.666666666666667,0.125541125541126,0.792207792207792,0
"17","Colorado, USA",2700,1100,0.666666666666667,0.125541125541126,0.792207792207792,0
"18","Colorado, USA",2800,1100,0.75,0.0785714285714286,0.828571428571429,0
"19","Colorado, USA",2900,1100,0.833333333333333,0.0238095238095238,0.857142857142857,0
"20","Colorado, USA",3000,1100,0.833333333333333,0.0238095238095238,0.857142857142857,0
"21","Colorado, USA",3100,1100,0.875,0.005,0.88,0
"22","Colorado, USA",3200,1100,0.875,0.005,0.88,0
"23","Colorado, USA",3300,1100,0.882352941176471,0.0200860832137733,0.902439024390244,0
"24","Colorado, USA",3400,1100,0.916666666666667,0.0277777777777778,0.944444444444444,0
"25","Colorado, USA",3500,1100,0.916666666666667,0.0277777777777778,0.944444444444444,0
"26","Colorado, USA",3600,1100,0.833333333333333,0.1,0.933333333333333,0
"27","Colorado, USA",3700,1100,1,0,1,0
"28","Colorado, USA",3800,1100,1,0,1,0
"29","Colorado, USA",3900,1100,1,0,1,0
"30","Colorado, USA",4000,1100,1,0,1,0
"31","Colorado, USA",4100,1100,1,0,1,0
"32","Colorado, USA",4200,1100,1,0,1,0
"33","Colorado, USA",1100,1200,0,0,0,0
"34","Colorado, USA",1200,1200,0,0,0,0
"35","Colorado, USA",1300,1200,0.0416666666666667,0.0904088050314465,0.132075471698113,0
"36","Colorado, USA",1400,1200,0.0416666666666667,0.328196347031963,0.36986301369863,0
"37","Colorado, USA",1500,1200,0.0416666666666667,0.328196347031963,0.36986301369863,0
"38","Colorado, USA",1600,1200,0.0833333333333333,0.489482200647249,0.572815533980582,0
"39","Colorado, USA",1700,1200,0.0833333333333333,0.530701754385965,0.614035087719298,0
"40","Colorado, USA",1800,1200,0.0833333333333333,0.530701754385965,0.614035087719298,0
"41","Colorado, USA",1900,1200,0.166666666666667,0.508130081300813,0.67479674796748,0
"42","Colorado, USA",2000,1200,0.333333333333333,0.4,0.733333333333333,0
"43","Colorado, USA",2100,1200,0.333333333333333,0.4,0.733333333333333,0
"44","Colorado, USA",2200,1200,0.375,0.35472972972973,0.72972972972973,0
"45","Colorado, USA",2300,1200,0.458333333333333,0.289239482200647,0.747572815533981,0
"46","Colorado, USA",2400,1200,0.458333333333333,0.289239482200647,0.747572815533981,0
"47","Colorado, USA",2500,1200,0.541666666666667,0.233843537414966,0.775510204081633,0
"48","Colorado, USA",2600,1200,0.666666666666667,0.125541125541126,0.792207792207792,0
"49","Colorado, USA",2700,1200,0.666666666666667,0.125541125541126,0.792207792207792,0
"50","Colorado, USA",2800,1200,0.75,0.0785714285714286,0.828571428571429,0
"51","Colorado, USA",2900,1200,0.833333333333333,0.0238095238095238,0.857142857142857,0
